,Ant,Node,A Priori Status,Auto Metrics Flags,ee Shape Modified Z-Score,nn Shape Modified Z-Score,ee Power Modified Z-Score,nn Power Modified Z-Score,ee Temporal Variability Modified Z-Score,nn Temporal Variability Modified Z-Score,ee Temporal Discontinuties Modified Z-Score,nn Temporal Discontinuties Modified Z-Score
0,0,0,digital_maintenance,0.0,,,,,,,,
1,1,0,digital_maintenance,0.0,,,,,,,,
2,2,0,RF_maintenance,0.0,,,,,,,,
3,3,1,digital_ok,0.0,,,,,,,,
4,4,1,RF_maintenance,0.0,,,,,,,,
5,5,1,digital_ok,0.0,,,,,,,,
6,11,0,digital_maintenance,0.0,,,,,,,,
7,12,0,RF_maintenance,0.0,,,,,,,,
8,13,0,digital_maintenance,0.0,,,,,,,,
9,14,0,digital_maintenance,0.0,,,,,,,,
10,15,1,RF_maintenance,0.0,,,,,,,,
11,16,1,RF_maintenance,0.0,,,,,,,,
12,17,1,digital_ok,0.0,,,,,,,,
13,18,1,digital_ok,0.0,,,,,,,,
14,23,0,RF_maintenance,0.0,,,,,,,,
15,24,0,RF_maintenance,0.0,,,,,,,,
16,25,0,digital_maintenance,0.0,,,,,,,,
17,26,0,digital_maintenance,0.0,,,,,,,,
18,27,1,RF_maintenance,0.0,,,,,,,,
19,28,1,RF_maintenance,0.0,,,,,,,,
20,29,1,digital_ok,0.0,,,,,,,,
21,30,1,RF_maintenance,0.0,,,,,,,,
22,39,0,digital_maintenance,0.0,,,,,,,,
23,45,5,RF_maintenance,0.0,,,,,,,,
24,46,5,digital_ok,0.0,,,,,,,,
25,73,5,digital_ok,0.0,,,,,,,,
26,81,7,RF_maintenance,0.0,,,,,,,,
27,82,7,RF_maintenance,0.0,,,,,,,,
28,83,7,digital_ok,0.0,,,,,,,,
29,84,8,RF_maintenance,0.0,,,,,,,,
30,85,8,digital_ok,0.0,,,,,,,,
31,86,8,RF_maintenance,0.0,,,,,,,,
32,87,8,digital_ok,0.0,,,,,,,,
33,88,9,digital_ok,0.0,,,,,,,,
34,89,9,RF_maintenance,0.0,,,,,,,,
35,90,9,RF_maintenance,0.0,,,,,,,,
36,91,9,digital_ok,0.0,,,,,,,,
37,92,10,digital_ok,0.0,,,,,,,,
38,93,10,RF_maintenance,0.0,,,,,,,,
39,94,10,digital_ok,0.0,,,,,,,,
40,98,7,digital_ok,0.0,,,,,,,,
41,99,7,digital_ok,0.0,,,,,,,,
42,100,7,digital_ok,0.0,,,,,,,,
43,101,8,RF_maintenance,0.0,,,,,,,,
44,102,8,digital_ok,0.0,,,,,,,,
45,103,8,digital_ok,0.0,,,,,,,,
46,104,8,digital_ok,0.0,,,,,,,,
47,105,9,digital_ok,0.0,,,,,,,,
48,106,9,digital_ok,0.0,,,,,,,,
49,107,9,digital_ok,0.0,,,,,,,,
50,108,9,digital_ok,0.0,,,,,,,,
51,109,10,digital_ok,0.0,,,,,,,,
52,110,10,RF_maintenance,0.0,,,,,,,,
53,111,10,digital_ok,0.0,,,,,,,,
54,112,10,RF_maintenance,0.0,,,,,,,,
55,116,7,RF_maintenance,0.0,,,,,,,,
56,119,7,digital_ok,0.0,,,,,,,,
57,120,8,digital_ok,0.0,,,,,,,,
58,121,8,RF_maintenance,0.0,,,,,,,,
59,122,8,digital_maintenance,0.0,,,,,,,,
60,123,8,digital_ok,0.0,,,,,,,,
61,124,9,digital_ok,0.0,,,,,,,,
62,125,9,digital_ok,0.0,,,,,,,,
63,126,9,RF_maintenance,0.0,,,,,,,,
64,127,10,digital_ok,0.0,,,,,,,,
65,128,10,digital_ok,0.0,,,,,,,,
66,129,10,digital_ok,0.0,,,,,,,,
67,130,10,digital_ok,0.0,,,,,,,,
68,135,12,digital_ok,0.0,,,,,,,,
69,136,12,RF_maintenance,0.0,,,,,,,,
70,138,7,RF_maintenance,0.0,,,,,,,,
71,143,14,digital_ok,0.0,,,,,,,,
72,144,14,digital_ok,0.0,,,,,,,,
73,145,14,digital_ok,0.0,,,,,,,,
74,147,15,digital_ok,0.0,,,,,,,,
75,148,15,RF_maintenance,0.0,,,,,,,,
76,149,15,RF_maintenance,0.0,,,,,,,,
77,150,15,RF_maintenance,0.0,,,,,,,,
78,155,12,RF_maintenance,0.0,,,,,,,,
79,156,12,digital_ok,0.0,,,,,,,,
80,157,12,digital_ok,0.0,,,,,,,,
81,158,12,digital_ok,0.0,,,,,,,,
82,163,14,digital_ok,0.0,,,,,,,,
83,164,14,digital_ok,0.0,,,,,,,,
84,165,14,digital_ok,0.0,,,,,,,,
85,166,14,digital_ok,0.0,,,,,,,,
86,167,15,digital_ok,0.0,,,,,,,,
87,168,15,RF_maintenance,0.0,,,,,,,,
88,169,15,digital_ok,0.0,,,,,,,,
89,170,15,digital_ok,0.0,,,,,,,,
90,176,12,digital_ok,0.0,,,,,,,,
91,177,12,digital_ok,0.0,,,,,,,,
92,178,12,digital_ok,0.0,,,,,,,,
93,179,12,digital_ok,0.0,,,,,,,,
94,184,14,RF_maintenance,0.0,,,,,,,,
95,185,14,digital_ok,0.0,,,,,,,,
96,186,14,digital_ok,0.0,,,,,,,,
97,187,14,digital_ok,0.0,,,,,,,,
98,189,15,digital_ok,0.0,,,,,,,,
99,190,15,digital_ok,0.0,,,,,,,,
100,191,15,digital_ok,0.0,,,,,,,,
