,Ant,Node,A Priori Status,Auto Metrics Flags,Dead Fraction in Ant Metrics (Jee),Dead Fraction in Ant Metrics (Jnn),Crossed Fraction in Ant Metrics,Flag Fraction Before Redcal,Flagged By Redcal chi^2 Fraction,ee Shape Modified Z-Score,nn Shape Modified Z-Score,ee Power Modified Z-Score,nn Power Modified Z-Score,ee Temporal Variability Modified Z-Score,nn Temporal Variability Modified Z-Score,ee Temporal Discontinuties Modified Z-Score,nn Temporal Discontinuties Modified Z-Score,Average Dead Ant Metric (Jee),Average Dead Ant Metric (Jnn),Average Crossed Ant Metric,Median chi^2 Per Antenna (Jee),Median chi^2 Per Antenna (Jnn)
0,0,0,RF_maintenance,1.0,1.0,1.0,0.0,1.0,0.0,33.875389149046406,94.65492288160831,118.44499096097046,159.59012658794873,30.101855463899177,84.10063534917207,53.62246250840623,108.35544082007856,0.01347356228842073,0.009433004668678848,0.01356379936917085,0.0,0.0
1,1,0,RF_maintenance,1.0,1.0,1.0,0.0,1.0,0.0,30.033838349360828,86.15448144205108,121.46515867866198,138.00507847282663,54.43224353997463,67.10600006068779,68.71153538886023,86.98884262295266,0.009900114965980951,0.009603824945964784,0.007351935731763831,0.7613191157579422,0.4772760719060898
2,2,0,RF_maintenance,1.0,1.0,1.0,0.0,1.0,0.0,26.41229923612548,78.62613316234037,117.65671817118918,127.11640464386561,34.965907908248745,35.7768802453825,62.40338773255148,50.11727807571433,0.011389649818370947,0.009741324879939398,0.0067350259161713085,0.7735899835824966,0.47206123173236847
3,11,0,RF_maintenance,1.0,1.0,1.0,0.0,1.0,0.0,146.86221226040752,81.58942772808511,130.06947898381287,111.02841765211024,30.15271425671107,21.438208638225547,48.525073869745725,41.449846444431024,0.01337450654280469,0.012245879658459977,0.007971446568812893,0.8101217895746231,0.5820465236902237
4,12,0,RF_maintenance,1.0,1.0,1.0,0.0,1.0,0.0,124.54493420213208,60.029994015985615,130.54259378268137,112.33949442948118,30.419472354856417,33.713470905198086,52.77636187502575,46.41294466139652,0.013847468156885506,0.012087404489703244,0.007691626643168122,0.0,0.0
5,13,0,RF_maintenance,1.0,1.0,1.0,0.0,1.0,0.0,62.43691742648027,39.46013222992826,125.17939528970066,126.79758339155421,27.690875670952163,25.65816186305594,55.28185667094109,60.022744203769705,0.01420795211796493,0.01057221849378918,0.009558067151136407,0.0,0.0
6,14,0,RF_maintenance,1.0,1.0,1.0,0.0,1.0,0.0,210.98914741271668,94.65372862517687,148.8708605906915,133.05936127257567,43.69455827636237,56.69019075122675,68.7906921868082,67.92776686451555,0.013447929925731232,0.011177572652020807,0.011286306308174546,0.0,0.0
7,23,0,RF_maintenance,1.0,1.0,1.0,0.0,1.0,0.0,28.14624699090546,74.26266304642714,106.86682375789002,111.77549789435534,29.345164730362843,23.22881742018563,36.189546336373574,41.84092577872507,0.013706101814278072,0.011162941544982206,0.005710632763519394,0.0,0.0
8,24,0,RF_maintenance,1.0,1.0,1.0,0.0,1.0,0.0,25.3254400856933,90.89713758140289,114.33942077631737,164.28398189525913,32.89311029926727,103.59504568524773,49.49382112495922,136.4918935010904,0.011813182239035798,0.009004681929432407,0.010369916902477563,0.0,0.0
9,25,0,RF_maintenance,1.0,1.0,1.0,0.0,1.0,0.0,349.8968352174611,350.47017658281635,215.52037779482285,250.63455652222697,26.142335068976834,34.044385346584846,31.576978746081387,39.5223934717844,0.012001841159781933,0.030333863579265718,0.031216732017777953,1.2540022134780884,0.2568729445338249
10,26,0,RF_maintenance,1.0,1.0,1.0,0.0,1.0,0.0,332.8577631009536,354.1463480104555,178.19652773924673,235.54501161422976,41.46502664569481,32.680969605738845,55.17186494943195,45.30118137241817,0.013514229494907062,0.01480014762666689,0.021484073353909568,0.0,0.0
11,39,0,RF_maintenance,1.0,1.0,1.0,0.0,1.0,0.0,357.07507876239066,358.2743240544928,inf,308.3750973635828,113.69549365467705,130.0883379972971,97.19669781642475,219.88078466041708,,,,0.0,0.0
12,45,5,RF_maintenance,1.0,0.0,0.6670247046186896,0.0,1.0,0.0,1.3827455064638818,34.07665254702668,-0.5495932025030411,53.975312584944284,-0.7881775920300386,17.96477242384344,-0.16037638983976105,15.88226826569847,0.7880423238732173,0.31244203025528683,0.2803911842518937,9.181196928024292,4.372408866882324
13,46,5,digital_ok,0.0,0.0,0.0,0.0,0.0,0.0,1.6403821920156052,-0.04694280055662754,0.8056509440872422,0.5548583362508558,0.3435229624369429,-0.1876796258285101,1.2847781446311013,0.8825319821207419,0.7751459954722518,0.764273130452099,0.2249000362901375,0.8661240190267563,0.6292194724082947
14,73,5,digital_ok,0.0,0.0,0.0,0.0,0.0,0.0,-0.2986849918983847,-0.2753287876030443,-0.09720715283711055,-0.2845321506651763,0.021687641456783126,0.26964788295266234,-0.15460899922803664,-0.47813233057570903,0.8272753341430741,0.8148683969457015,0.2039085501991321,0.35233500599861145,0.3098727688193321
15,81,7,digital_ok,1.0,1.0,1.0,0.0,1.0,0.0,6.370473659382882,6.435710398557858,3.693342101029298,5.294397544833664,20.030595408780798,19.877747423945753,20.685543048700392,20.591577108291705,0.08592678874001229,0.07073396293641299,0.010435750230869723,1.3763740062713623,1.3759668171405792
