,Ant,Node,A Priori Status,Auto Metrics Flags,Flag Fraction Before Redcal,Flagged By Redcal chi^2 Fraction,ee Shape Modified Z-Score,nn Shape Modified Z-Score,ee Power Modified Z-Score,nn Power Modified Z-Score,ee Temporal Variability Modified Z-Score,nn Temporal Variability Modified Z-Score,ee Temporal Discontinuties Modified Z-Score,nn Temporal Discontinuties Modified Z-Score,Median chi^2 Per Antenna (Jee),Median chi^2 Per Antenna (Jnn)
0,0,0,RF_maintenance,1.0,1.0,0.0,68.07960423519282,82.70203422476138,171.66266134457854,176.58186821268959,58.40762744971281,64.44799854053838,609.3959672956203,610.453097003556,1.1939958930015564,1.1908505260944366
1,1,0,RF_maintenance,1.0,1.0,0.0,46.422398349879536,77.79004064535386,147.1533359033336,149.10865463621744,31.652655281815125,36.44683680718198,417.1971121415984,449.56319192895876,1.2492398619651794,1.2275998294353485
2,2,0,RF_maintenance,1.0,1.0,0.0,29.804380451720593,51.404452511638056,123.28681028496077,122.92666390398306,21.593066278924287,21.29239583065789,294.2445346028433,230.30237864309595,1.2428819835186005,1.2401876151561737
3,3,1,digital_ok,0.0,0.0,0.0,-1.0031609932928722,-0.8528774707949079,0.21679544736554812,1.077988518046323,-1.0775517862505233,-1.6053843589999086,-0.05489705690017586,-0.21788586638730859,0.6455562859773636,0.609526738524437
4,4,1,RF_maintenance,0.0,1.0,0.0,-0.5366156093824614,1.1379934958216202,-0.7165835138956764,-1.0314330975031512,-0.7787078694524439,-1.465427429684054,0.17248283039884132,0.20703964025810492,10.723239183425903,14.215540647506714
5,5,1,digital_ok,0.0,0.0,0.0,-0.8813368768603875,0.5432321000188519,0.15662352865889909,-0.9371234996862947,-1.2552139663999533,-0.34160378918019774,-0.2836594043023075,-0.1042501468887474,0.7086671143770218,0.755352646112442
6,11,0,RF_maintenance,1.0,1.0,0.0,128.84716612833643,102.80282485403552,166.11261475356864,179.57856553116645,26.180556276874643,49.91717689938452,338.912364879072,595.0423209180005,1.0842364132404327,0.0
7,12,0,RF_maintenance,1.0,1.0,0.0,35.195762044776906,45.51534474535378,121.39137984840737,120.60142639623028,15.259684334929316,29.985741780563732,218.8784716289087,247.95206604028633,1.1692220568656921,1.1734878718852997
8,13,0,RF_maintenance,1.0,1.0,0.0,34.978924997725954,55.480009510902526,145.11922729819582,159.19058239857495,35.28619801417004,39.1563426943726,396.5825650204352,482.9166140255056,1.2174880504608154,1.1984077095985413
9,14,0,RF_maintenance,1.0,1.0,0.0,107.96495734048396,71.27741128769816,157.76604296653306,147.13266838873113,32.98795011473552,32.356992708132836,405.281332985077,395.40211810051795,1.1707961559295654,1.1700976192951202
10,15,1,digital_ok,0.0,0.0,0.01,-0.4125412731633178,0.4196297557771862,0.45128901257736975,-0.13480748799259715,-0.6422454479805649,0.010252510273304066,0.15851839460864084,0.6035338814592162,0.6086926162242889,0.5661578625440598
